DFSIterative
8,14,3.2844e-05,34,
390,2054,0.076031,321.111,
2124,4306,0.322391,1788.25,
4,6,3.3177e-05,10,
415,2091,0.0644444,343.095,
1177,2429,0.177633,993.499,
6,9,2.4419e-05,22,
930,2399,0.0597307,778.037,
43,108,0.0014856,30.3349,
2,3,9.851e-06,6,
432,898,0.017556,355.714,
2431,4914,0.372932,2034.86,
7,11,4.282e-05,24,
518,1090,0.023254,449.472,
883,1847,0.130244,711.137,
8,13,2.636e-05,30,
89,223,0.00318894,69.3732,
1128,2333,0.164919,938.844,
6,9,2.4153e-05,22,
266,1453,0.0454095,214.214,
217,529,0.0363083,173.261,
4,8,1.4342e-05,14,
250,540,0.0107878,202.179,
3126,6289,0.471988,2677.07,
3,5,4.3192e-05,8,
78,203,0.00402545,62.4781,
1807,3678,0.274098,1512.55,
8,14,3.2748e-05,34,
568,1164,0.0216678,510.902,
1504,9682,1.24296,1284.1,
1,1,2.0595e-05,0,
624,1280,0.0276218,532.054,
2637,5322,0.403467,2214.06,
2,2,3.584e-05,2,
70,185,0.00284664,67.3007,
723,1722,0.144729,641.681,
4,6,1.8719e-05,10,
85,1765,0.0638333,62.852,
1463,6310,0.737349,1231.04,
2,4,2.0716e-05,6,
747,1515,0.030029,606.906,
1540,9931,1.26046,1284.18,
8,14,3.0896e-05,34,
98,2291,0.0858332,80.768,
2362,4777,0.357638,1950.87,
7,10,5.4531e-05,24,
693,1409,0.0277313,588.875,
691,1468,0.0991887,575.738,
5,8,2.0161e-05,20,
155,354,0.00619459,112.84,
4816,9636,0.740447,4038.44,
8,12,9.238e-05,30,
779,2076,0.0518708,646.251,
1019,2118,0.157936,823.099,
8,14,2.8165e-05,34,
569,1166,0.0230178,484.522,
1555,3180,0.235046,1321.37,
4,6,2.7727e-05,14,
125,293,0.00497033,96.6055,
2916,8709,0.90544,2450.21,
2,2,3.6025e-05,2,
964,2071,0.0419007,792.656,
1422,3082,0.242391,1189.89,
8,13,3.2507e-05,30,
144,332,0.00486518,113.423,
1146,2369,0.171381,945.829,
6,13,2.3184e-05,22,
92,230,0.00411804,80.9129,
4255,8706,0.680169,3596.25,
5,8,8.3141e-05,16,
277,944,0.0240759,225.174,
889,1859,0.128718,743.374,
6,9,2.367e-05,22,
309,1024,0.0256243,258.142,
1563,9342,1.18247,1332.8,
8,14,2.9475e-05,34,
742,1587,0.0326779,613.205,
1602,7596,0.903391,1330.54,
4,8,2.8323e-05,14,
518,1065,0.0207077,437.895,
970,9392,1.27519,802.91,
9,15,2.649e-05,36,
140,324,0.00522974,108.441,
1197,2470,0.179987,984.254,
3,7,2.256e-05,12,
422,876,0.0174163,344.107,
1318,6176,0.730736,1113.79,
7,12,2.8423e-05,28,
234,477,0.00919651,196.264,
1250,2576,0.192745,1019.32,
9,14,2.6714e-05,32,
405,843,0.0164764,327.025,
1936,3934,0.318361,1591.17,
7,11,3.6187e-05,24,
168,1562,0.0528318,130.957,
1275,2626,0.213143,1061.66,
2,4,2.2914e-05,6,
218,477,0.00994131,184.461,
1620,8780,1.08616,1344.76,
7,11,3.1701e-05,24,
53,148,0.00214576,46.0794,
3932,7886,0.599159,3320.81,
8,12,4.833e-05,30,
218,801,0.0211153,179.003,
1348,2768,0.205685,1112.36,
9,16,2.8397e-05,40,
404,1952,0.0595344,320.455,
2724,8896,0.995586,2280.22,
2,2,3.5868e-05,2,
326,688,0.0127312,259.455,
1673,3413,0.256452,1380.78,
6,9,3.1577e-05,18,
566,1160,0.0221881,487.673,
2215,6888,0.707253,1856.96,
2,2,3.0292e-05,2,
349,1973,0.0610934,287.634,
516,1521,0.146851,470.366,
4,6,1.8021e-05,10,
223,488,0.00886628,185.814,
1245,3055,0.248544,1025.19,
7,10,2.5639e-05,24,
39,115,0.0012464,34.9913,
3080,9672,1.09883,2598.23,
