DFSIterative
10,15,1.2854e-05,38,
358,1988,0.144487,285.461,
4528,8795,1.43078,3781.69,
4,6,7.3373e-05,10,
1205,2352,0.0666312,995.334,
623,1282,0.134489,527.812,
8,12,1.586e-05,26,
1262,2494,0.0723979,1048.3,
4189,8292,0.989469,3526.98,
2,2,7.7767e-05,6,
932,1855,0.0500838,805.694,
1489,2930,0.310854,1235.28,
9,14,2.614e-05,28,
1154,2254,0.0625943,941.929,
2057,4148,0.424551,1716.27,
8,13,2.9913e-05,30,
323,660,0.0182245,274.009,
1110,2257,0.239347,923.045,
6,9,1.815e-05,22,
626,1213,0.0315212,516.451,
4665,9225,1.32874,3920.88,
4,8,0.000117476,14,
146,316,0.00738701,128.4,
2918,5768,0.6149,2453.25,
3,5,3.4718e-05,8,
722,1465,0.0403395,621.398,
979,1969,0.201818,810.738,
10,15,2.0578e-05,38,
118,266,0.00573489,90.9031,
4668,9193,0.984809,3963.14,
1,1,6.8771e-05,0,
1000,1955,0.0556869,810.934,
1557,3100,0.338419,1300.89,
2,2,1.8006e-05,2,
42,117,0.00203978,37.3086,
671,1428,0.148535,560.781,
4,6,1.1375e-05,10,
21,60,0.000980163,18.244,
2895,5643,0.612608,2441.31,
2,4,2.857e-05,6,
1309,2489,0.0651364,1086.82,
2236,4432,0.468643,1862.6,
8,14,3.0622e-05,34,
8,21,0.000768683,4.28802,
2982,5804,0.640725,2489.35,
7,10,3.8802e-05,24,
343,667,0.0185618,285.833,
4309,8482,0.901492,3635.01,
9,14,8.1081e-05,28,
949,1836,0.0515673,794.65,
2540,5112,0.545637,2149.91,
6,9,3.3127e-05,18,
491,964,0.0262568,412.431,
3867,7650,0.798034,3250.02,
8,14,4.8495e-05,34,
653,1266,0.0335046,542.207,
3079,5936,0.629198,2600.91,
4,6,3.6588e-05,14,
1039,2029,0.0537748,843.66,
4868,9565,1.00749,4127.73,
2,3,6.9408e-05,2,
1038,1992,0.0513308,848.269,
2064,4080,0.42632,1730.26,
8,13,3.1364e-05,30,
714,1426,0.0366416,620.873,
2340,4610,0.484858,1952.46,
6,13,2.8941e-05,22,
418,846,0.0220117,346.866,
2729,5393,0.560374,2315.19,
5,8,3.8238e-05,16,
279,551,0.0135361,244.442,
3471,6857,0.717235,2930.78,
6,9,5.155e-05,22,
955,1869,0.050207,792.004,
1595,3145,0.341019,1323.44,
10,15,2.4048e-05,38,
1156,2218,0.0627411,957.865,
2890,5728,0.621936,2445.6,
4,8,3.4443e-05,14,
692,1350,0.0338695,586.565,
1662,3315,0.355488,1368.23,
9,15,2.703e-05,36,
152,330,0.00743516,133.303,
853,1721,0.171364,711.381,
5,8,1.4828e-05,16,
536,1074,0.0270816,448.873,
2154,4291,0.451739,1854.65,
9,14,3.0679e-05,32,
1160,2248,0.0603815,978.257,
2628,5135,0.564186,2199.36,
9,14,3.2146e-05,32,
571,1146,0.0307322,482.033,
3944,7743,1.09492,3333.57,
9,14,5.1732e-05,28,
602,1200,0.0351326,499.286,
4111,7966,0.932459,3458.89,
2,4,8.4767e-05,6,
750,1448,0.0425428,615.376,
2114,4183,0.432358,1765.11,
7,11,2.9444e-05,24,
43,127,0.00205036,33.0915,
4960,9793,1.05004,4220.9,
6,9,8.2139e-05,18,
1236,2434,0.0663686,1011.63,
168,402,0.0336918,130.853,
9,16,1.3187e-05,40,
796,1562,0.0430367,657.284,
5070,9946,1.27223,4300.66,
2,2,8.25e-05,2,
744,1494,0.0400248,640.338,
4245,8245,0.948162,3558.55,
6,9,7.9069e-05,18,
68,178,0.00348483,46.017,
375,731,0.0778825,312.136,
2,3,7.117e-06,2,
1041,1996,0.0507675,868.112,
656,1799,0.223719,550.037,
4,6,1.2764e-05,10,
1021,1986,0.0518334,866.073,
3471,7468,0.82784,2915.81,
7,11,4.0421e-05,24,
1233,2414,0.0700626,1022.9,
3856,7643,0.996768,3281.66,
1,1,4.4133e-05,0,
119,233,0.00938495,100.121,
1213,2398,0.279937,1008.91,
3,5,2.3792e-05,8,
78,178,0.00386939,56.4921,
2134,4272,0.552698,1774.68,
5,8,3.1189e-05,20,
278,582,0.0157112,235.381,
4975,9835,1.09587,4240.2,
6,10,0.000110615,22,
847,1646,0.0436043,719.227,
4303,8470,0.885916,3624.55,
1,1,9.0142e-05,0,
404,792,0.0219689,343.794,
4694,9286,0.970727,3963.7,
1,1,8.712e-05,0,
1131,2210,0.0576933,962.679,
4362,8631,0.892343,3656.32,
3,6,7.5916e-05,8,
797,1609,0.0433093,672.876,
785,1592,0.162503,635.618,
2,3,9.65e-06,2,
1193,2330,0.0669121,990.983,
2352,4567,0.48982,1965.14,
1,1,2.5175e-05,0,
1045,2031,0.0515823,858.474,
2384,4775,0.504882,2004.93,
3,6,2.5846e-05,8,
1106,2137,0.0554015,910.523,
4829,9537,0.980592,4102.21,
3,6,7.5425e-05,8,
406,828,0.0210011,351.346,
4563,8838,0.913735,3832.64,
3,16,9.3304e-05,8,
959,1880,0.0478767,801.291,
4373,8492,0.919027,3665.09,
1,1,7.0451e-05,0,
889,1714,0.046537,749.125,
4747,9376,0.971682,4022.81,
5,7,7.5626e-05,16,
650,1259,0.0328224,550.352,
529,1082,0.107005,439.701,
2,2,7.679e-06,6,
349,690,0.0174632,290.421,
4632,8940,0.928309,3871.02,
8,14,8.3612e-05,34,
585,1110,0.0297176,466.656,
1444,2861,0.30756,1220.32,
2,2,1.8635e-05,2,
658,1277,0.0329382,564.708,
2650,5247,0.532231,2228.45,
5,7,2.821e-05,16,
1212,2360,0.0585518,1009.54,
4370,8574,0.874492,3695.4,
1,1,7.1718e-05,0,
1249,2471,0.0619241,1047.6,
4514,8863,0.917193,3826.43,
3,4,8.6797e-05,8,
315,643,0.0166651,257.219,
3632,7117,0.743776,3094.66,
10,15,4.4508e-05,38,
910,1782,0.0452461,757.168,
1250,2486,0.253738,1041.24,
11,16,2.1513e-05,40,
8,22,0.000323336,5.01756,
3074,6076,0.653021,2606.46,
4,7,3.5941e-05,18,
554,1096,0.030854,457.911,
1129,2233,0.230468,956.65,
2,4,2.69e-05,2,
1247,2397,0.061296,1043.39,
2815,5574,0.599012,2367.11,
3,7,4.0679e-05,8,
683,1359,0.0369813,578.633,
3897,7729,0.800239,3312.35,
6,9,4.3159e-05,18,
1232,2357,0.0643546,1027.07,
3148,6238,0.65192,2662.3,
7,11,3.4251e-05,28,
843,1645,0.043811,700.44,
936,1867,0.198153,783.937,
8,11,1.7317e-05,30,
1060,2062,0.0528749,906.564,
4865,9605,1.06376,4134.37,
4,9,9.029e-05,14,
974,1850,0.052906,796.905,
5005,9904,1.30828,4204.04,
5,8,8.0856e-05,16,
504,989,0.0271635,424.682,
